spectra (nm),
456.72,0.023255501
457.08,0.023464461
457.45,0.023456026
457.81,0.023093757
458.18,0.022691863
458.54,0.023080814
458.91,0.023354094
459.27,0.023471046
459.64,0.023213334
460,0.022908915
460.36,0.023199276
460.73,0.023100346
461.09,0.023296579
461.46,0.0231397
461.82,0.023438806
462.19,0.023197591
462.55,0.022972859
462.92,0.023253908
463.28,0.02351736
463.64,0.023300246
464.01,0.0232898
464.37,0.023432156
464.74,0.023230026
465.1,0.023056442
465.46,0.023441896
465.83,0.023571929
466.19,0.023309744
466.56,0.023784352
466.92,0.023102055
467.28,0.023155237
467.65,0.023786584
468.01,0.023545043
468.38,0.023577723
468.74,0.023137108
469.1,0.023591275
469.47,0.023431665
469.83,0.023141791
470.19,0.023279849
470.56,0.02319924
470.92,0.023392403
471.28,0.023707209
471.65,0.023507757
472.01,0.023234748
472.37,0.023643669
472.74,0.023674731
473.1,0.023640524
473.46,0.023819876
473.83,0.023809628
474.19,0.023647474
474.55,0.023772848
474.92,0.023651803
475.28,0.024003168
475.64,0.023921991
476.01,0.02376334
476.37,0.02379232
476.73,0.02350604
477.09,0.02398377
477.46,0.024105693
477.82,0.023865989
478.18,0.023794628
478.54,0.02358523
478.91,0.024110696
479.27,0.023995816
479.63,0.023848604
480,0.024028988
480.36,0.024048235
480.72,0.023977492
481.08,0.024011436
481.45,0.024173754
481.81,0.024203247
482.17,0.024262638
482.53,0.024317443
482.89,0.024141065
483.26,0.024069819
483.62,0.02419423
483.98,0.024180655
484.34,0.024125203
484.7,0.024225212
485.07,0.024427168
485.43,0.024322601
485.79,0.024187586
486.15,0.024162252
486.51,0.024150305
486.88,0.024017362
487.24,0.024071257
487.6,0.024111529
487.96,0.024222778
488.32,0.024301534
488.68,0.024211135
489.05,0.024377017
489.41,0.024365966
489.77,0.024614684
490.13,0.024579353
490.49,0.024464932
490.85,0.024348693
491.21,0.024593073
491.58,0.024357978
491.94,0.024352808
492.3,0.024427582
492.66,0.024474106
493.02,0.024708093
493.38,0.024659675
493.74,0.024775269
494.1,0.024764672
494.47,0.024901919
494.83,0.02489624
495.19,0.02489829
495.55,0.024975151
495.91,0.02489026
496.27,0.024998681
496.63,0.024957864
496.99,0.025184453
497.35,0.024930316
497.71,0.025001368
498.07,0.025002685
498.43,0.024901709
498.79,0.025234311
499.15,0.025106635
499.52,0.025100487
499.88,0.025052625
500.24,0.025085137
500.6,0.025235547
500.96,0.025099741
501.32,0.025150611
501.68,0.025057649
502.04,0.02492466
502.4,0.025250028
502.76,0.02547862
503.12,0.025229566
503.48,0.025408004
503.84,0.025272686
504.2,0.025175261
504.56,0.025342183
504.92,0.025661977
505.28,0.025647124
505.64,0.025777321
506,0.025898534
506.36,0.025901637
506.72,0.025781495
507.08,0.025921764
507.44,0.02591913
507.8,0.025707443
508.15,0.025814042
508.51,0.025872416
508.87,0.025988726
509.23,0.026162812
509.59,0.026162893
509.95,0.026180943
510.31,0.026278844
510.67,0.026595971
511.03,0.026351773
511.39,0.026381912
511.75,0.026685296
512.11,0.026719185
512.47,0.026497528
512.83,0.026454775
513.18,0.026524773
513.54,0.026539457
513.9,0.026576604
514.26,0.026739827
514.62,0.026731471
514.98,0.026808316
515.34,0.026878989
515.7,0.026678823
516.05,0.026694227
516.41,0.026563619
516.77,0.026506537
