spectra (nm),reflection
469.83,0.09876
470.19,0.10136
470.56,0.10031
470.92,0.10422
471.28,0.10431
471.65,0.1033
472.01,0.10114
472.37,0.10134
472.74,0.10367
473.1,0.09923
473.46,0.10582
473.83,0.10549
474.19,0.10229
474.55,0.10234
474.92,0.10175
475.28,0.10521
475.64,0.1001
476.01,0.10254
476.37,0.10449
476.73,0.10079
477.09,0.10076
477.46,0.10615
477.82,0.09846
478.18,0.10069
478.54,0.10042
478.91,0.10084
479.27,0.10375
479.63,0.1049
480,0.10368
480.36,0.10351
480.72,0.10316
481.08,0.10335
481.45,0.1041
481.81,0.10393
482.17,0.10294
482.53,0.10323
482.89,0.10049
483.26,0.10228
483.62,0.10174
483.98,0.10122
484.34,0.10162
484.7,0.1008
485.07,0.10287
485.43,0.10317
485.79,0.10305
486.15,0.10304
486.51,0.1013
486.88,0.09883
487.24,0.10096
487.6,0.09951
487.96,0.09899
488.32,0.10126
488.68,0.1003
489.05,0.09829
489.41,0.09616
489.77,0.09402
490.13,0.09717
490.49,0.09586
490.85,0.09656
491.21,0.09914
491.58,0.09854
491.94,0.09816
492.3,0.09677
492.66,0.09699
493.02,0.09781
493.38,0.09773
493.74,0.09703
494.1,0.09681
494.47,0.0968
494.83,0.09634
495.19,0.09913
495.55,0.09599
495.91,0.09615
496.27,0.09788
496.63,0.09788
496.99,0.09858
497.35,0.09935
497.71,0.09852
498.07,0.09636
498.43,0.10077
498.79,0.10053
499.15,0.0994
499.52,0.0976
499.88,0.10034
500.24,0.10156
500.6,0.09819
500.96,0.09986
501.32,0.101
501.68,0.1015
502.04,0.10299
502.4,0.10152
502.76,0.10136
503.12,0.10228
503.48,0.0994
503.84,0.1007
504.2,0.10201
504.56,0.10355
504.92,0.10426
505.28,0.10443
505.64,0.10531
506,0.10419
506.36,0.10854
506.72,0.10809
507.08,0.10645
507.44,0.10771
507.8,0.107
508.15,0.10931
508.51,0.10713
508.87,0.10678
509.23,0.10907
509.59,0.10969
509.95,0.11131
510.31,0.11211
510.67,0.1125
511.03,0.11306
511.39,0.11292
511.75,0.11154
512.11,0.11231
512.47,0.11487
512.83,0.11344
513.18,0.11472
513.54,0.11358
513.9,0.11728
514.26,0.11576
514.62,0.11541
514.98,0.1148
515.34,0.11705
515.7,0.11587
516.05,0.11713
516.41,0.11695
516.77,0.11821
517.13,0.11619
517.49,0.1145
517.85,0.11332
518.21,0.11657
518.56,0.11505
518.92,0.11518
519.28,0.1166
519.64,0.11502
520,0.11238
520.36,0.11406
520.71,0.11634
521.07,0.11671
521.43,0.11454
521.79,0.11239
522.15,0.11318
522.5,0.11384
522.86,0.11435
523.22,0.11154
523.58,0.11405
523.94,0.11011
524.29,0.11227
524.65,0.1137
525.01,0.11539
525.37,0.11262
525.72,0.11311
526.08,0.11389
526.44,0.1133
526.8,0.11322
527.15,0.11254
527.51,0.11048
527.87,0.1133
528.23,0.11443
528.58,0.11225
528.94,0.11063
529.3,0.11286
529.66,0.11049
530.01,0.10914
530.37,0.10973
530.73,0.10896
531.08,0.10995
531.44,0.11015
531.8,0.10999
532.15,0.11073
532.51,0.11098
532.87,0.10771
533.23,0.10841
533.58,0.11105
533.94,0.10884
534.3,0.11074
534.65,0.10866
