seagrass,ref
456.72,0.023811735
457.08,0.024072431
457.45,0.024147047
457.81,0.024328383
458.18,0.024153518
458.54,0.024179963
458.91,0.024040059
459.27,0.023846389
459.64,0.024203813
460,0.024385878
460.36,0.023930531
460.73,0.024511192
461.09,0.024095616
461.46,0.024029316
461.82,0.023933811
462.19,0.024044111
462.55,0.024234553
462.92,0.024207133
463.28,0.024222973
463.64,0.024301604
464.01,0.024665643
464.37,0.024356604
464.74,0.024657908
465.1,0.024553873
465.46,0.024322898
465.83,0.024378585
466.19,0.023970692
466.56,0.024446573
466.92,0.024261487
467.28,0.024413218
467.65,0.024341415
468.01,0.024381556
468.38,0.024214823
468.74,0.02441445
469.1,0.024267524
469.47,0.024488549
469.83,0.024406381
470.19,0.024448579
470.56,0.024236504
470.92,0.024488807
471.28,0.024336064
471.65,0.024281869
472.01,0.024457211
472.37,0.024559153
472.74,0.024148214
473.1,0.0245154
473.46,0.024667789
473.83,0.024719479
474.19,0.024583588
474.55,0.024401383
474.92,0.024538462
475.28,0.024525751
475.64,0.024607226
476.01,0.024547791
476.37,0.024615154
476.73,0.024698437
477.09,0.024993443
477.46,0.024832376
477.82,0.024920546
478.18,0.024835265
478.54,0.024636672
478.91,0.025065329
479.27,0.024874192
479.63,0.024760546
480,0.024982416
480.36,0.024808301
480.72,0.024963243
481.08,0.024771499
481.45,0.025033962
481.81,0.024916333
482.17,0.024906142
482.53,0.025051638
482.89,0.025088219
483.26,0.025067039
483.62,0.02520083
483.98,0.024995016
484.34,0.025243205
484.7,0.025092045
485.07,0.025371223
485.43,0.025147444
485.79,0.025177758
486.15,0.025132521
486.51,0.0250862
486.88,0.025072809
487.24,0.025175788
487.6,0.025435624
487.96,0.025420035
488.32,0.025426984
488.68,0.025603082
489.05,0.025441615
489.41,0.025747113
489.77,0.025709871
490.13,0.026118601
490.49,0.025938377
490.85,0.026132094
491.21,0.025953899
491.58,0.026086865
491.94,0.026142963
492.3,0.026181527
492.66,0.026287772
493.02,0.026415866
493.38,0.026477814
493.74,0.026725453
494.1,0.026900271
494.47,0.027046694
494.83,0.027223233
495.19,0.027123837
495.55,0.027411674
495.91,0.027410838
496.27,0.027461867
496.63,0.027609217
496.99,0.027873146
497.35,0.027969497
497.71,0.027958211
498.07,0.028013863
498.43,0.027946289
498.79,0.028198011
499.15,0.028424857
499.52,0.028497974
499.88,0.02865715
500.24,0.028563059
500.6,0.028699771
500.96,0.028615496
501.32,0.028821422
501.68,0.028812592
502.04,0.029009012
502.4,0.029202308
502.76,0.029376631
503.12,0.029697955
503.48,0.029771614
503.84,0.029940224
504.2,0.029999159
504.56,0.030295852
504.92,0.030731209
505.28,0.031032271
505.64,0.031381392
506,0.031932667
506.36,0.031891121
506.72,0.031837343
507.08,0.032139737
507.44,0.032237499
507.8,0.032255095
508.15,0.032545567
508.51,0.032874643
508.87,0.03320153
509.23,0.033612921
509.59,0.033886641
509.95,0.033844014
510.31,0.034341994
510.67,0.034686453
511.03,0.034876771
511.39,0.035427406
511.75,0.03572863
512.11,0.035812121
512.47,0.0360548
512.83,0.036102498
513.18,0.036419711
513.54,0.036621251
513.9,0.036853125
514.26,0.037060159
514.62,0.037365411
514.98,0.037679159
515.34,0.038252659
515.7,0.038385781
516.05,0.038469416
516.41,0.038247648
516.77,0.038047389
517.13,0.03838631
517.49,0.038874854
517.85,0.039142797
518.21,0.039513189
518.56,0.040058018
518.92,0.040530941
519.28,0.04121058
519.64,0.041835726
520,0.042324963
520.36,0.042562009
520.71,0.043080066
521.07,0.043447007
521.43,0.043732869
521.79,0.044261695
522.15,0.044479588
522.5,0.044641617
522.86,0.044855436
523.22,0.045282224
523.58,0.045787469
523.94,0.046554676
524.29,0.046751415
524.65,0.047197858
525.01,0.047244892
525.37,0.047474405
525.72,0.047485956
526.08,0.047347767
526.44,0.047205876
526.8,0.047258993
527.15,0.047663738
527.51,0.048423676
527.87,0.048805479
528.23,0.049311751
528.58,0.049715558
528.94,0.050478788
529.3,0.050528706
529.66,0.050720281
530.01,0.05115759
530.37,0.05126976
530.73,0.051722671
531.08,0.052037886
531.44,0.051969281
531.8,0.051796445
532.15,0.051731062
532.51,0.051622776
532.87,0.051718574
533.23,0.051964203
533.58,0.052140764
533.94,0.052422547
534.3,0.052743933
534.65,0.053117228
535.01,0.053442933
535.37,0.053770611
535.72,0.053917845
536.08,0.054043946
536.43,0.053867553
536.79,0.053753117
537.15,0.053830191
537.5,0.05385853
537.86,0.054119982
538.22,0.054294076
538.57,0.054319013
538.93,0.054326062
539.29,0.054289824
539.64,0.054294487
540,0.054115589
540.35,0.05401722
540.71,0.054173029
541.07,0.05429947
541.42,0.05447394
541.78,0.054762989
542.13,0.054674302
542.49,0.054937936
542.84,0.054935772
543.2,0.055263053
543.56,0.055379277
543.91,0.055594773
544.27,0.055692573
544.62,0.056212858
544.98,0.056017351
545.33,0.056101509
545.69,0.055976343
546.04,0.056135902
546.4,0.056298818
546.75,0.056410419
547.11,0.056407371
547.47,0.056365261
547.82,0.056460244
548.18,0.056366704
548.53,0.056812021
548.89,0.056771646
549.24,0.056977585
549.6,0.057102794
549.95,0.057118803
550.31,0.057109638
550.66,0.057228986
551.02,0.057062143
551.37,0.057562447
551.72,0.057534164
552.08,0.057448675
552.43,0.057424938
552.79,0.057353616
553.14,0.057460792
553.5,0.057649532
553.85,0.057860605
554.21,0.057708961
554.56,0.057923919
554.92,0.05769379
555.27,0.057685953
555.62,0.057633063
555.98,0.057565134
556.33,0.057304821
556.69,0.057067197
557.04,0.057287433
557.4,0.057052292
557.75,0.056927754
558.1,0.056889778
