Wavelength (nm),Panchromatic,Coastal,Blue,Green,Yellow,Red,Red Edge,NIR1,NIR2
377,3.70E-06,4.83E-06,4.26E-07,2.77E-07,7.76E-08,1.52E-07,1.72E-07,1.78E-08,2.43E-07
378,4.06E-06,5.18E-06,5.10E-07,3.95E-07,8.61E-08,1.86E-07,2.14E-07,3.68E-08,2.95E-07
379,4.49E-06,6.27E-06,4.72E-07,3.86E-07,8.10E-08,1.74E-07,2.39E-07,3.28E-08,2.22E-07
380,4.95E-06,7.42E-06,4.31E-07,3.76E-07,7.48E-08,1.62E-07,2.65E-07,2.83E-08,1.41E-07
381,4.68E-06,9.02E-06,3.67E-07,2.80E-07,7.13E-08,1.21E-07,2.46E-07,1.46E-08,1.73E-07
382,4.40E-06,1.07E-05,2.98E-07,1.77E-07,6.75E-08,7.65E-08,2.26E-07,2.75E-11,2.05E-07
383,4.07E-06,1.63E-05,3.45E-07,2.56E-07,5.28E-08,1.20E-07,2.89E-07,7.62E-09,1.83E-07
384,3.72E-06,2.20E-05,3.92E-07,3.38E-07,3.77E-08,1.65E-07,3.54E-07,1.55E-08,1.60E-07
385,3.36E-06,4.54E-05,5.15E-07,4.25E-07,7.12E-08,2.37E-07,3.40E-07,3.07E-08,2.10E-07
386,3.49E-06,6.96E-05,6.42E-07,5.15E-07,1.06E-07,3.11E-07,3.26E-07,4.64E-08,2.60E-07
387,3.61E-06,1.38E-04,6.07E-07,4.80E-07,2.23E-07,3.04E-07,3.45E-07,4.58E-08,2.43E-07
388,3.73E-06,2.08E-04,5.71E-07,4.44E-07,3.43E-07,2.96E-07,3.65E-07,4.52E-08,2.26E-07
389,3.87E-06,4.18E-04,6.47E-07,4.32E-07,4.70E-07,3.26E-07,5.60E-07,7.47E-08,2.32E-07
390,4.01E-06,6.35E-04,7.24E-07,4.19E-07,6.01E-07,3.57E-07,7.60E-07,1.05E-07,2.37E-07
391,4.41E-06,1.26E-03,6.28E-07,4.10E-07,5.61E-06,2.56E-07,1.56E-06,5.32E-08,2.36E-07
392,4.82E-06,1.90E-03,5.29E-07,4.01E-07,1.08E-05,1.53E-07,2.37E-06,3.41E-11,2.36E-07
393,5.21E-06,4.93E-03,5.10E-07,3.64E-07,3.14E-05,1.93E-07,2.14E-06,2.44E-09,2.59E-07
