Wavelength (nm),Panchromatic,Coastal,Blue,Green,Yellow,Red,Red Edge,NIR1,NIR2
560,7.10E-01,5.20E-07,6.26E-05,9.62E-01,3.83E-06,1.18E-07,3.59E-07,9.13E-08,1.49E-07
561,7.22E-01,5.21E-07,5.80E-05,9.68E-01,5.74E-06,7.70E-08,1.07E-06,4.57E-08,9.01E-08
562,7.33E-01,5.22E-07,5.35E-05,9.74E-01,7.67E-06,3.63E-08,1.79E-06,8.50E-11,3.13E-08
563,7.44E-01,4.54E-07,5.62E-05,9.79E-01,1.46E-05,9.48E-08,2.26E-06,4.30E-08,1.57E-08
564,7.55E-01,3.87E-07,5.88E-05,9.83E-01,2.16E-05,1.54E-07,2.73E-06,8.59E-08,1.66E-10
565,7.66E-01,2.69E-07,5.87E-05,9.86E-01,2.67E-05,8.64E-08,2.08E-06,7.49E-08,1.66E-10
566,7.64E-01,1.51E-07,5.88E-05,9.88E-01,3.17E-05,1.91E-08,1.45E-06,6.38E-08,1.66E-10
567,7.63E-01,2.58E-07,5.21E-05,9.93E-01,4.89E-05,4.92E-08,1.02E-06,7.06E-08,1.66E-10
568,7.62E-01,3.64E-07,4.55E-05,9.97E-01,6.61E-05,7.97E-08,6.05E-07,7.76E-08,1.66E-10
569,7.60E-01,2.15E-07,4.74E-05,9.98E-01,9.66E-05,1.52E-07,7.53E-07,3.88E-08,4.30E-09
570,7.58E-01,6.51E-08,4.94E-05,1.00E+00,1.27E-04,2.24E-07,9.03E-07,9.36E-11,8.46E-09
571,7.59E-01,3.26E-08,4.74E-05,9.98E-01,1.97E-04,1.59E-07,1.24E-06,9.39E-11,4.31E-09
572,7.59E-01,1.77E-10,4.53E-05,9.95E-01,2.66E-04,9.37E-08,1.60E-06,9.41E-11,1.61E-10
573,7.59E-01,1.76E-10,3.76E-05,9.91E-01,4.23E-04,1.12E-07,2.41E-06,7.47E-08,1.59E-10
574,7.59E-01,1.75E-10,3.00E-05,9.86E-01,5.79E-04,1.31E-07,3.21E-06,1.49E-07,1.58E-10
575,7.60E-01,2.07E-07,3.10E-05,9.79E-01,8.95E-04,1.33E-07,3.11E-06,7.50E-08,1.56E-10
576,7.68E-01,4.14E-07,3.21E-05,9.72E-01,1.21E-03,1.34E-07,3.01E-06,9.33E-11,1.55E-10
577,7.76E-01,1.18E-06,3.06E-05,9.29E-01,1.89E-03,2.31E-07,3.06E-06,9.30E-11,9.00E-08
578,7.84E-01,1.95E-06,2.89E-05,8.86E-01,2.56E-03,3.28E-07,3.12E-06,9.26E-11,1.80E-07
579,7.89E-01,1.83E-06,2.32E-05,7.75E-01,4.22E-03,2.67E-07,3.80E-06,9.19E-11,7.24E-07
580,7.94E-01,1.71E-06,1.74E-05,6.64E-01,5.88E-03,2.07E-07,4.49E-06,9.12E-11,1.26E-06
581,7.96E-01,1.11E-06,1.75E-05,5.10E-01,1.08E-02,2.72E-07,5.57E-06,1.28E-08,6.57E-07
582,7.97E-01,5.01E-07,1.75E-05,3.56E-01,1.57E-02,3.36E-07,6.66E-06,2.57E-08,4.86E-08
583,7.99E-01,2.52E-07,1.74E-05,2.47E-01,3.74E-02,4.00E-07,6.74E-06,1.29E-08,1.42E-07
584,8.02E-01,1.89E-10,1.71E-05,1.38E-01,5.92E-02,4.63E-07,6.82E-06,8.99E-11,2.37E-07
585,8.01E-01,9.78E-08,1.43E-05,9.29E-02,1.35E-01,5.12E-07,6.05E-06,2.96E-08,2.94E-07
586,8.04E-01,1.96E-07,1.15E-05,4.83E-02,2.10E-01,5.60E-07,5.28E-06,5.91E-08,3.52E-07
587,8.08E-01,1.37E-07,1.11E-05,3.30E-02,3.29E-01,5.79E-07,5.11E-06,6.66E-08,2.24E-07
588,8.14E-01,7.78E-08,1.07E-05,1.75E-02,4.49E-01,5.99E-07,4.94E-06,7.43E-08,9.52E-08
589,8.17E-01,3.01E-07,1.17E-05,1.15E-02,5.56E-01,7.15E-07,6.02E-06,6.96E-08,1.59E-07
590,8.19E-01,5.26E-07,1.28E-05,5.56E-03,6.64E-01,8.29E-07,7.09E-06,6.50E-08,2.23E-07
591,8.20E-01,1.48E-06,1.12E-05,4.19E-03,7.49E-01,8.14E-07,8.85E-06,3.26E-08,3.78E-07
592,8.21E-01,2.44E-06,9.61E-06,2.81E-03,8.35E-01,8.00E-07,1.06E-05,9.30E-11,5.34E-07
593,8.21E-01,3.29E-06,8.77E-06,2.14E-03,8.61E-01,9.13E-07,1.20E-05,9.41E-11,5.34E-07
594,8.21E-01,4.14E-06,7.92E-06,1.48E-03,8.88E-01,1.03E-06,1.34E-05,9.51E-11,5.35E-07
595,8.23E-01,4.49E-06,8.62E-06,1.13E-03,9.00E-01,1.32E-06,1.38E-05,9.65E-11,6.13E-07
596,8.26E-01,4.84E-06,9.33E-06,7.81E-04,9.12E-01,1.62E-06,1.41E-05,9.78E-11,6.92E-07
597,8.28E-01,3.47E-06,9.23E-06,6.00E-04,9.17E-01,6.60E-06,1.54E-05,9.90E-11,3.46E-07
598,8.31E-01,2.11E-06,9.11E-06,4.17E-04,9.23E-01,1.16E-05,1.67E-05,1.00E-10,1.88E-10
599,8.35E-01,1.55E-06,8.60E-06,3.20E-04,9.28E-01,1.21E-05,2.03E-05,1.03E-07,2.89E-07
600,8.39E-01,9.77E-07,8.07E-06,2.23E-04,9.33E-01,1.26E-05,2.40E-05,2.08E-07,5.78E-07
601,8.42E-01,1.35E-06,8.17E-06,1.71E-04,9.35E-01,1.86E-05,2.87E-05,1.04E-07,5.35E-07
602,8.46E-01,1.71E-06,8.27E-06,1.20E-04,9.38E-01,2.46E-05,3.33E-05,1.04E-10,4.94E-07
603,8.51E-01,1.60E-06,8.81E-06,9.44E-05,9.42E-01,2.90E-05,3.55E-05,1.05E-10,4.66E-07
604,8.56E-01,1.48E-06,9.34E-06,6.86E-05,9.46E-01,3.35E-05,3.77E-05,1.06E-10,4.38E-07
605,8.61E-01,1.26E-06,8.97E-06,5.39E-05,9.47E-01,4.10E-05,3.75E-05,7.81E-09,5.14E-07
606,8.59E-01,1.04E-06,8.59E-06,3.92E-05,9.48E-01,4.84E-05,3.73E-05,1.55E-08,5.89E-07
607,8.59E-01,1.25E-06,7.92E-06,3.02E-05,9.51E-01,6.31E-05,3.90E-05,1.10E-07,5.95E-07
608,8.57E-01,1.45E-06,7.24E-06,2.12E-05,9.54E-01,7.77E-05,4.07E-05,2.06E-07,6.00E-07
609,8.58E-01,1.86E-06,7.68E-06,1.40E-05,9.60E-01,1.00E-04,4.72E-05,1.03E-07,8.84E-07
610,8.58E-01,2.27E-06,8.13E-06,6.85E-06,9.66E-01,1.23E-04,5.38E-05,1.06E-10,1.17E-06
611,8.61E-01,2.51E-06,8.73E-06,5.34E-06,9.73E-01,1.72E-04,6.46E-05,7.52E-08,8.80E-07
612,8.64E-01,2.77E-06,9.34E-06,3.83E-06,9.79E-01,2.20E-04,7.54E-05,1.51E-07,5.87E-07
613,8.66E-01,3.40E-06,8.90E-06,3.22E-06,9.84E-01,3.17E-04,8.35E-05,7.58E-08,4.82E-07
614,8.69E-01,4.04E-06,8.47E-06,2.61E-06,9.89E-01,4.14E-04,9.16E-05,5.58E-10,3.75E-07
615,8.70E-01,6.08E-06,7.38E-06,1.71E-06,9.90E-01,6.28E-04,8.84E-05,3.31E-10,2.86E-07
616,8.72E-01,8.10E-06,6.29E-06,8.07E-07,9.91E-01,8.42E-04,8.51E-05,1.04E-10,1.97E-07
617,8.76E-01,1.04E-05,6.87E-06,4.53E-07,9.92E-01,1.38E-03,7.89E-05,7.61E-08,2.13E-07
618,8.80E-01,1.27E-05,7.46E-06,9.83E-08,9.93E-01,1.92E-03,7.29E-05,1.52E-07,2.27E-07
619,8.85E-01,1.14E-05,7.71E-06,9.60E-07,9.97E-01,3.39E-03,8.16E-05,7.64E-08,3.80E-07
620,8.89E-01,1.01E-05,7.98E-06,1.83E-06,1.00E+00,4.87E-03,9.04E-05,1.03E-10,5.35E-07
621,8.92E-01,8.00E-06,7.22E-06,1.51E-06,9.99E-01,9.93E-03,1.22E-04,1.03E-10,5.43E-07
622,8.95E-01,5.94E-06,6.46E-06,1.19E-06,9.97E-01,1.50E-02,1.54E-04,1.03E-10,5.53E-07
623,8.98E-01,5.17E-06,5.68E-06,2.17E-06,9.41E-01,3.05E-02,1.95E-04,7.42E-09,5.51E-07
624,9.02E-01,4.43E-06,4.90E-06,3.12E-06,8.85E-01,4.61E-02,2.35E-04,1.47E-08,5.49E-07
625,9.09E-01,3.86E-06,5.54E-06,6.19E-06,7.59E-01,9.56E-02,1.85E-04,7.46E-09,6.32E-07
626,9.14E-01,3.29E-06,6.16E-06,9.28E-06,6.32E-01,1.46E-01,1.34E-04,1.05E-10,7.18E-07
627,9.13E-01,3.21E-06,6.15E-06,8.82E-06,5.02E-01,2.45E-01,7.90E-05,7.97E-08,9.94E-07
628,9.13E-01,3.14E-06,6.13E-06,8.37E-06,3.72E-01,3.44E-01,2.45E-05,1.59E-07,1.27E-06
629,9.15E-01,2.90E-06,5.16E-06,1.18E-05,2.53E-01,4.70E-01,1.67E-05,7.98E-08,1.18E-06
630,9.18E-01,2.67E-06,4.19E-06,1.52E-05,1.34E-01,5.96E-01,8.79E-06,1.07E-10,1.09E-06
631,9.16E-01,2.99E-06,3.76E-06,1.44E-05,8.61E-02,7.00E-01,6.84E-06,1.08E-10,7.22E-07
632,9.15E-01,3.33E-06,3.31E-06,1.36E-05,3.76E-02,8.05E-01,4.86E-06,1.10E-10,3.50E-07
633,9.13E-01,2.91E-06,3.68E-06,1.85E-05,2.41E-02,8.39E-01,4.09E-06,1.11E-10,3.00E-07
634,9.12E-01,2.49E-06,4.05E-06,2.34E-05,1.07E-02,8.73E-01,3.33E-06,1.12E-10,2.47E-07
635,9.11E-01,2.49E-06,4.14E-06,2.57E-05,7.39E-03,8.73E-01,2.69E-06,1.13E-10,3.63E-07
636,9.14E-01,2.49E-06,4.25E-06,2.80E-05,4.09E-03,8.72E-01,2.04E-06,1.14E-10,4.78E-07
637,9.16E-01,2.54E-06,3.98E-06,3.10E-05,2.85E-03,8.81E-01,1.65E-06,9.36E-08,5.26E-07
638,9.18E-01,2.59E-06,3.70E-06,3.41E-05,1.62E-03,8.90E-01,1.26E-06,1.87E-07,5.73E-07
639,9.22E-01,2.64E-06,3.24E-06,3.16E-05,1.16E-03,9.09E-01,1.17E-06,9.38E-08,3.29E-07
640,9.25E-01,2.70E-06,2.77E-06,2.92E-05,6.91E-04,9.28E-01,1.07E-06,1.16E-10,8.33E-08
641,9.30E-01,2.72E-06,3.16E-06,2.85E-05,5.07E-04,9.41E-01,8.72E-07,4.76E-08,3.44E-07
642,9.34E-01,2.75E-06,3.56E-06,2.80E-05,3.23E-04,9.53E-01,6.72E-07,9.51E-08,6.07E-07
643,9.40E-01,2.58E-06,3.95E-06,2.61E-05,2.47E-04,9.58E-01,6.38E-07,4.77E-08,6.43E-07
644,9.45E-01,2.42E-06,4.33E-06,2.41E-05,1.70E-04,9.63E-01,6.04E-07,1.17E-10,6.81E-07
645,9.51E-01,2.50E-06,3.84E-06,2.41E-05,1.58E-04,9.65E-01,1.38E-06,9.90E-08,6.91E-07
646,9.48E-01,2.55E-06,3.36E-06,2.42E-05,1.45E-04,9.67E-01,2.17E-06,1.99E-07,7.03E-07
647,9.45E-01,2.23E-06,3.28E-06,1.74E-05,1.13E-04,9.67E-01,2.59E-06,3.16E-07,7.91E-07
648,9.43E-01,1.92E-06,3.19E-06,1.08E-05,8.00E-05,9.67E-01,3.00E-06,4.33E-07,8.82E-07
649,9.40E-01,2.07E-06,3.68E-06,5.49E-06,6.23E-05,9.66E-01,4.02E-06,4.69E-07,1.06E-06
650,9.37E-01,2.22E-06,4.16E-06,2.14E-07,4.43E-05,9.66E-01,5.03E-06,5.05E-07,1.23E-06
651,9.35E-01,2.05E-06,4.67E-06,1.52E-07,3.49E-05,9.62E-01,5.60E-06,4.64E-07,1.42E-06
652,9.33E-01,1.87E-06,5.21E-06,9.03E-08,2.55E-05,9.58E-01,6.16E-06,4.21E-07,1.61E-06
653,9.32E-01,1.77E-06,5.66E-06,1.14E-07,2.07E-05,9.57E-01,6.68E-06,5.06E-07,2.26E-06
654,9.31E-01,1.67E-06,6.12E-06,1.38E-07,1.59E-05,9.56E-01,7.20E-06,5.92E-07,2.90E-06
655,9.29E-01,1.74E-06,5.66E-06,1.97E-07,1.29E-05,9.55E-01,8.10E-06,5.97E-07,2.36E-06
656,9.34E-01,1.81E-06,5.18E-06,2.59E-07,9.84E-06,9.55E-01,9.01E-06,6.03E-07,1.78E-06
657,9.37E-01,1.80E-06,5.51E-06,2.03E-07,8.24E-06,9.53E-01,1.00E-05,5.63E-07,1.25E-06
658,9.39E-01,1.79E-06,5.83E-06,1.48E-07,6.66E-06,9.52E-01,1.11E-05,5.24E-07,7.20E-07
659,9.45E-01,1.79E-06,7.91E-06,2.02E-07,5.83E-06,9.54E-01,1.13E-05,6.02E-07,6.33E-07
660,9.51E-01,1.78E-06,1.00E-05,2.57E-07,4.98E-06,9.56E-01,1.16E-05,6.81E-07,5.46E-07
661,9.55E-01,1.93E-06,1.29E-05,3.53E-07,4.26E-06,9.60E-01,1.14E-05,6.33E-07,1.16E-06
662,9.59E-01,2.08E-06,1.58E-05,4.48E-07,3.55E-06,9.64E-01,1.11E-05,5.84E-07,1.78E-06
663,9.61E-01,2.08E-06,1.66E-05,5.07E-07,3.05E-06,9.67E-01,1.18E-05,7.97E-07,1.29E-06
664,9.62E-01,2.08E-06,1.74E-05,5.65E-07,2.56E-06,9.69E-01,1.23E-05,1.01E-06,8.10E-07
665,9.63E-01,2.41E-06,1.75E-05,6.78E-07,2.16E-06,9.70E-01,1.18E-05,1.01E-06,4.98E-07
666,9.59E-01,2.75E-06,1.77E-05,7.89E-07,1.77E-06,9.71E-01,1.11E-05,1.01E-06,1.86E-07
667,9.58E-01,2.88E-06,2.03E-05,7.74E-07,1.54E-06,9.75E-01,1.07E-05,8.81E-07,9.36E-08
668,9.57E-01,3.03E-06,2.27E-05,7.58E-07,1.31E-06,9.78E-01,1.03E-05,7.56E-07,2.15E-10
669,9.56E-01,3.72E-06,2.93E-05,8.74E-07,1.07E-06,9.83E-01,1.08E-05,9.17E-07,1.41E-07
670,9.54E-01,4.38E-06,3.59E-05,9.90E-07,8.30E-07,9.88E-01,1.13E-05,1.08E-06,2.82E-07
671,9.54E-01,6.04E-06,4.15E-05,8.88E-07,8.95E-07,9.91E-01,9.69E-06,9.28E-07,2.48E-07
672,9.54E-01,7.68E-06,4.72E-05,7.84E-07,9.59E-07,9.95E-01,8.12E-06,7.76E-07,2.14E-07
673,9.55E-01,1.08E-05,4.41E-05,7.19E-07,9.44E-07,9.98E-01,8.75E-06,8.79E-07,1.45E-07
674,9.56E-01,1.40E-05,4.10E-05,6.56E-07,9.28E-07,1.00E+00,9.40E-06,9.84E-07,7.54E-08
675,9.57E-01,1.72E-05,3.43E-05,6.21E-07,8.19E-07,9.99E-01,8.21E-06,9.35E-07,2.83E-07
676,9.61E-01,2.03E-05,2.74E-05,5.85E-07,7.10E-07,9.98E-01,7.02E-06,8.85E-07,4.91E-07
677,9.66E-01,1.77E-05,2.51E-05,8.49E-07,7.06E-07,9.94E-01,8.24E-06,9.38E-07,5.29E-07
678,9.70E-01,1.50E-05,2.26E-05,1.11E-06,7.02E-07,9.90E-01,9.46E-06,9.91E-07,5.67E-07
679,9.74E-01,1.14E-05,2.34E-05,1.11E-06,8.09E-07,9.87E-01,9.59E-06,9.98E-07,6.68E-07
680,9.78E-01,7.76E-06,2.43E-05,1.10E-06,9.15E-07,9.84E-01,9.71E-06,1.01E-06,7.69E-07
681,9.71E-01,6.04E-06,2.54E-05,8.49E-07,7.43E-07,9.85E-01,1.09E-05,9.71E-07,4.93E-07
682,9.65E-01,4.33E-06,2.66E-05,6.00E-07,5.70E-07,9.87E-01,1.20E-05,9.36E-07,2.16E-07
683,9.58E-01,4.08E-06,2.44E-05,6.50E-07,5.14E-07,9.70E-01,1.86E-05,8.01E-07,1.09E-07
684,9.53E-01,3.86E-06,2.24E-05,7.01E-07,4.57E-07,9.53E-01,2.53E-05,6.65E-07,2.16E-10
685,9.49E-01,4.36E-06,1.95E-05,9.28E-07,8.31E-07,8.85E-01,3.28E-05,8.97E-07,2.33E-07
686,9.51E-01,4.87E-06,1.65E-05,1.16E-06,1.21E-06,8.17E-01,4.03E-05,1.13E-06,4.67E-07
687,9.48E-01,4.42E-06,1.44E-05,1.13E-06,9.75E-07,6.94E-01,6.59E-05,1.17E-06,4.93E-07
688,9.45E-01,3.98E-06,1.24E-05,1.11E-06,7.44E-07,5.71E-01,9.15E-05,1.22E-06,5.16E-07
689,9.49E-01,3.79E-06,1.25E-05,1.14E-06,6.84E-07,4.32E-01,1.49E-04,1.25E-06,6.73E-07
690,9.53E-01,3.60E-06,1.26E-05,1.18E-06,6.24E-07,2.92E-01,2.07E-04,1.29E-06,8.32E-07
691,9.49E-01,3.82E-06,1.34E-05,1.17E-06,8.10E-07,1.96E-01,3.65E-04,1.14E-06,4.77E-07
692,9.46E-01,4.04E-06,1.42E-05,1.15E-06,9.94E-07,1.01E-01,5.21E-04,9.84E-07,1.28E-07
693,9.48E-01,4.39E-06,1.39E-05,1.14E-06,7.24E-07,6.58E-02,9.97E-04,9.89E-07,3.27E-07
694,9.51E-01,4.74E-06,1.37E-05,1.14E-06,4.53E-07,3.07E-02,1.48E-03,9.92E-07,5.27E-07
695,9.52E-01,6.61E-06,1.20E-05,8.93E-07,5.18E-07,2.04E-02,3.13E-03,9.25E-07,4.08E-07
696,9.56E-01,8.49E-06,1.03E-05,6.50E-07,5.83E-07,1.02E-02,4.78E-03,8.58E-07,2.89E-07
697,9.60E-01,1.52E-05,9.20E-06,7.74E-07,6.29E-07,7.15E-03,1.41E-02,1.65E-06,3.25E-07
698,9.65E-01,2.19E-05,8.08E-06,8.98E-07,6.77E-07,4.12E-03,2.35E-02,2.45E-06,3.62E-07
699,9.67E-01,2.41E-05,7.83E-06,9.75E-07,8.19E-07,3.02E-03,6.16E-02,2.08E-06,2.44E-07
700,9.70E-01,2.64E-05,7.58E-06,1.05E-06,9.61E-07,1.91E-03,9.96E-02,1.72E-06,1.27E-07
701,9.75E-01,2.00E-05,8.02E-06,1.08E-06,7.28E-07,1.43E-03,1.94E-01,2.26E-06,2.14E-07
702,9.80E-01,1.36E-05,8.48E-06,1.10E-06,4.93E-07,9.51E-04,2.89E-01,2.80E-06,3.02E-07
703,9.88E-01,1.12E-05,9.20E-06,1.07E-06,6.07E-07,7.35E-04,4.04E-01,4.23E-06,1.71E-07
704,9.94E-01,8.71E-06,9.93E-06,1.03E-06,7.19E-07,5.19E-04,5.19E-01,5.67E-06,4.04E-08
705,1.00E+00,8.09E-06,1.01E-05,1.04E-06,8.65E-07,4.04E-04,6.23E-01,4.81E-06,8.74E-08
706,9.98E-01,7.46E-06,1.02E-05,1.05E-06,1.01E-06,2.88E-04,7.27E-01,3.96E-06,1.34E-07
707,9.96E-01,7.57E-06,9.42E-06,9.69E-07,9.01E-07,2.32E-04,8.11E-01,5.56E-06,3.06E-07
708,9.93E-01,7.67E-06,8.60E-06,8.87E-07,7.94E-07,1.76E-04,8.96E-01,7.16E-06,4.77E-07
709,9.93E-01,8.12E-06,7.83E-06,9.81E-07,7.61E-07,1.39E-04,9.24E-01,6.20E-06,4.83E-07
710,9.94E-01,8.54E-06,7.05E-06,1.08E-06,7.29E-07,1.02E-04,9.53E-01,5.23E-06,4.89E-07
711,9.89E-01,9.02E-06,7.38E-06,1.01E-06,9.87E-07,8.35E-05,9.64E-01,4.85E-06,5.77E-07
712,9.83E-01,9.51E-06,7.69E-06,9.52E-07,1.25E-06,6.53E-05,9.75E-01,4.47E-06,6.64E-07
713,9.79E-01,9.76E-06,8.51E-06,9.24E-07,1.04E-06,4.85E-05,9.81E-01,4.13E-06,7.17E-07
714,9.75E-01,1.00E-05,9.33E-06,8.95E-07,8.36E-07,3.15E-05,9.88E-01,3.79E-06,7.71E-07
715,9.70E-01,1.22E-05,1.09E-05,9.88E-07,9.14E-07,2.72E-05,9.88E-01,3.92E-06,7.14E-07
716,9.69E-01,1.44E-05,1.24E-05,1.08E-06,9.92E-07,2.30E-05,9.88E-01,4.06E-06,6.57E-07
717,9.68E-01,2.43E-05,1.31E-05,1.12E-06,8.95E-07,1.84E-05,9.89E-01,4.30E-06,8.16E-07
718,9.69E-01,3.41E-05,1.37E-05,1.16E-06,7.95E-07,1.40E-05,9.89E-01,4.54E-06,9.75E-07
719,9.68E-01,6.60E-05,1.30E-05,1.13E-06,9.92E-07,1.41E-05,9.92E-01,4.76E-06,9.37E-07
720,9.68E-01,9.76E-05,1.24E-05,1.09E-06,1.19E-06,1.42E-05,9.94E-01,4.98E-06,8.97E-07
721,9.71E-01,1.04E-04,1.20E-05,1.10E-06,1.14E-06,1.62E-05,9.97E-01,5.56E-06,6.64E-07
722,9.74E-01,1.11E-04,1.17E-05,1.11E-06,1.10E-06,1.81E-05,1.00E+00,6.14E-06,4.31E-07
723,9.74E-01,7.64E-05,1.22E-05,1.01E-06,1.13E-06,1.56E-05,1.00E+00,5.79E-06,6.75E-07
724,9.75E-01,4.18E-05,1.27E-05,8.96E-07,1.16E-06,1.32E-05,9.99E-01,5.46E-06,9.16E-07
725,9.79E-01,3.33E-05,1.49E-05,1.05E-06,1.50E-06,1.33E-05,9.99E-01,6.60E-06,1.04E-06
726,9.77E-01,2.49E-05,1.70E-05,1.20E-06,1.84E-06,1.35E-05,9.99E-01,7.76E-06,1.17E-06
727,9.70E-01,2.41E-05,2.07E-05,1.27E-06,1.48E-06,1.41E-05,9.93E-01,1.00E-05,9.97E-07
728,9.64E-01,2.34E-05,2.41E-05,1.33E-06,1.12E-06,1.48E-05,9.86E-01,1.23E-05,8.28E-07
729,9.64E-01,2.66E-05,2.76E-05,1.13E-06,1.15E-06,1.40E-05,9.87E-01,1.43E-05,7.74E-07
730,9.64E-01,2.98E-05,3.10E-05,9.34E-07,1.19E-06,1.32E-05,9.87E-01,1.62E-05,7.19E-07
731,9.59E-01,3.50E-05,3.22E-05,1.08E-06,1.07E-06,1.32E-05,9.84E-01,2.11E-05,6.85E-07
732,9.54E-01,4.01E-05,3.32E-05,1.22E-06,9.54E-07,1.32E-05,9.81E-01,2.61E-05,6.50E-07
733,9.51E-01,4.84E-05,3.21E-05,1.04E-06,1.15E-06,1.18E-05,9.81E-01,3.08E-05,7.91E-07
734,9.48E-01,5.67E-05,3.12E-05,8.65E-07,1.35E-06,1.04E-05,9.81E-01,3.55E-05,9.30E-07
735,9.47E-01,6.69E-05,3.10E-05,8.31E-07,1.28E-06,1.06E-05,9.77E-01,4.40E-05,8.81E-07
736,9.49E-01,7.72E-05,3.11E-05,7.97E-07,1.22E-06,1.08E-05,9.73E-01,5.27E-05,8.31E-07
737,9.47E-01,1.28E-04,3.30E-05,8.04E-07,1.28E-06,7.64E-06,9.54E-01,6.46E-05,1.04E-06
738,9.45E-01,1.78E-04,3.49E-05,8.12E-07,1.34E-06,4.53E-06,9.35E-01,7.64E-05,1.25E-06
739,9.49E-01,3.00E-04,4.00E-05,9.19E-07,1.19E-06,3.80E-06,8.91E-01,9.12E-05,9.04E-07
740,9.53E-01,4.23E-04,4.54E-05,1.03E-06,1.04E-06,3.05E-06,8.46E-01,1.06E-04,5.57E-07
741,9.54E-01,3.68E-04,5.21E-05,1.14E-06,9.47E-07,3.55E-06,7.57E-01,1.28E-04,7.57E-07
742,9.54E-01,3.13E-04,5.89E-05,1.26E-06,8.56E-07,4.05E-06,6.68E-01,1.49E-04,9.57E-07
743,9.56E-01,1.99E-04,6.33E-05,1.07E-06,1.02E-06,2.80E-06,5.64E-01,1.81E-04,9.29E-07
744,9.58E-01,8.50E-05,6.78E-05,8.71E-07,1.18E-06,1.54E-06,4.61E-01,2.14E-04,9.00E-07
745,9.63E-01,6.53E-05,6.53E-05,8.48E-07,1.13E-06,1.55E-06,3.60E-01,2.56E-04,1.05E-06
746,9.66E-01,4.53E-05,6.28E-05,8.24E-07,1.08E-06,1.55E-06,2.58E-01,2.99E-04,1.20E-06
747,9.63E-01,4.28E-05,5.57E-05,9.40E-07,1.08E-06,1.43E-06,1.79E-01,3.75E-04,1.07E-06
748,9.61E-01,4.00E-05,4.89E-05,1.06E-06,1.08E-06,1.30E-06,9.91E-02,4.50E-04,9.32E-07
749,9.59E-01,4.89E-05,4.51E-05,1.08E-06,1.05E-06,1.26E-06,6.48E-02,5.81E-04,1.08E-06
750,9.57E-01,5.78E-05,4.15E-05,1.11E-06,1.01E-06,1.23E-06,3.05E-02,7.13E-04,1.23E-06
751,9.55E-01,1.02E-04,4.12E-05,1.31E-06,8.92E-07,8.55E-07,1.95E-02,9.47E-04,1.00E-06
752,9.54E-01,1.47E-04,4.07E-05,1.50E-06,7.73E-07,4.77E-07,8.44E-03,1.18E-03,7.75E-07
753,9.47E-01,3.82E-04,4.32E-05,1.17E-06,8.65E-07,3.96E-07,5.74E-03,1.62E-03,9.69E-07
754,9.41E-01,6.16E-04,4.58E-05,8.38E-07,9.55E-07,3.17E-07,3.06E-03,2.05E-03,1.16E-06
755,9.41E-01,7.11E-04,5.10E-05,1.06E-06,8.61E-07,5.81E-07,2.16E-03,2.89E-03,8.04E-07
756,9.41E-01,8.07E-04,5.61E-05,1.27E-06,7.67E-07,8.47E-07,1.25E-03,3.73E-03,4.42E-07
757,9.37E-01,5.63E-04,6.13E-05,1.06E-06,8.04E-07,1.07E-06,9.04E-04,5.21E-03,5.05E-07
758,9.35E-01,3.19E-04,6.63E-05,8.54E-07,8.41E-07,1.29E-06,5.56E-04,6.70E-03,5.66E-07
759,9.31E-01,2.04E-04,6.54E-05,9.71E-07,8.03E-07,2.15E-06,4.13E-04,9.69E-03,7.05E-07
760,9.25E-01,8.94E-05,6.45E-05,1.09E-06,7.66E-07,3.01E-06,2.70E-04,1.27E-02,8.47E-07
761,9.25E-01,6.22E-05,5.87E-05,1.08E-06,7.97E-07,3.47E-06,2.02E-04,1.77E-02,7.35E-07
762,9.25E-01,3.52E-05,5.27E-05,1.06E-06,8.26E-07,3.94E-06,1.34E-04,2.27E-02,6.22E-07
763,9.22E-01,2.58E-05,4.57E-05,1.24E-06,9.12E-07,6.01E-06,1.04E-04,3.26E-02,7.60E-07
764,9.21E-01,1.63E-05,3.88E-05,1.42E-06,9.96E-07,8.09E-06,7.36E-05,4.25E-02,8.99E-07
765,9.22E-01,1.31E-05,3.54E-05,1.41E-06,7.83E-07,9.51E-06,5.53E-05,5.89E-02,8.56E-07
766,9.27E-01,9.94E-06,3.18E-05,1.40E-06,5.69E-07,1.10E-05,3.69E-05,7.53E-02,8.15E-07
767,9.32E-01,8.74E-06,3.06E-05,1.29E-06,6.94E-07,8.54E-06,2.83E-05,1.07E-01,6.92E-07
768,9.35E-01,7.52E-06,2.94E-05,1.17E-06,8.19E-07,6.11E-06,1.97E-05,1.39E-01,5.71E-07
769,9.37E-01,6.73E-06,3.08E-05,1.44E-06,7.10E-07,6.42E-06,1.47E-05,2.00E-01,5.10E-07
770,9.41E-01,5.96E-06,3.20E-05,1.70E-06,6.00E-07,6.71E-06,9.57E-06,2.60E-01,4.52E-07
771,9.49E-01,6.05E-06,3.53E-05,2.43E-06,5.44E-07,8.04E-06,8.30E-06,3.56E-01,7.64E-07
772,9.59E-01,6.11E-06,3.87E-05,3.16E-06,4.87E-07,9.38E-06,7.04E-06,4.54E-01,1.08E-06
773,9.57E-01,5.78E-06,4.14E-05,3.78E-06,4.64E-07,8.49E-06,6.83E-06,5.60E-01,1.15E-06
