spectrum (nm),reflectance
457.81,0.04946221
458.18,0.049699179
458.54,0.049555177
458.91,0.049388243
459.27,0.049657152
459.64,0.049469028
460,0.050275901
460.36,0.049562596
460.73,0.049565178
461.09,0.049462522
461.46,0.04975535
461.82,0.049619019
462.19,0.049454678
462.55,0.049560487
462.92,0.049629382
463.28,0.049726184
463.64,0.049541051
464.01,0.049934175
464.37,0.04973067
464.74,0.049821419
465.1,0.049666182
465.46,0.050081019
465.83,0.04970003
466.19,0.049646527
466.56,0.049728349
466.92,0.049815482
467.28,0.049818569
467.65,0.050167186
468.01,0.049902317
468.38,0.049912389
468.74,0.049971858
469.1,0.05002584
469.47,0.050183113
469.83,0.049911952
470.19,0.050023827
470.56,0.050208947
470.92,0.050409521
471.28,0.050215936
471.65,0.050266622
472.01,0.050267013
472.37,0.050282309
472.74,0.050681504
473.1,0.050281837
473.46,0.050327975
473.83,0.050569364
474.19,0.05066433
474.55,0.050921519
474.92,0.050905197
475.28,0.050917364
475.64,0.051237444
476.01,0.050999903
476.37,0.050930182
476.73,0.05130787
477.09,0.051722822
477.46,0.05158414
477.82,0.051613619
478.18,0.051522801
478.54,0.051607664
478.91,0.051907236
479.27,0.051849507
479.63,0.051903022
480,0.052401636
480.36,0.052257728
480.72,0.052226753
481.08,0.052481219
481.45,0.052666127
481.81,0.052520075
482.17,0.052580061
482.53,0.052740904
482.89,0.053020526
483.26,0.052828432
483.62,0.05315061
483.98,0.052859179
484.34,0.053307465
484.7,0.053389252
485.07,0.053618171
485.43,0.053332808
485.79,0.053280989
486.15,0.053273131
486.51,0.053068558
486.88,0.053597958
487.24,0.053401423
487.6,0.053663997
487.96,0.053899229
488.32,0.054183065
488.68,0.054355175
489.05,0.05452276
489.41,0.054783561
489.77,0.055130842
490.13,0.055416221
490.49,0.05536952
490.85,0.055448359
491.21,0.055400757
491.58,0.055069391
491.94,0.055153838
492.3,0.055268012
492.66,0.05544787
493.02,0.055992169
493.38,0.05611626
493.74,0.056413353
494.1,0.056713665
494.47,0.057288945
494.83,0.05747025
495.19,0.057442798
495.55,0.057547081
495.91,0.057660229
496.27,0.057797186
496.63,0.058173381
496.99,0.058420196
497.35,0.05852186
497.71,0.058348975
498.07,0.057944478
498.43,0.058166961
498.79,0.058327142
499.15,0.058594191
499.52,0.058709462
499.88,0.058567767
500.24,0.0586717
500.6,0.058623511
500.96,0.058624572
501.32,0.058334098
501.68,0.058424041
502.04,0.058612678
502.4,0.058858617
502.76,0.059236373
503.12,0.059462812
503.48,0.059262681
503.84,0.058976501
504.2,0.059260889
504.56,0.059805855
504.92,0.060385809
505.28,0.060711688
505.64,0.061595571
506,0.061864584
506.36,0.06156146
506.72,0.061858785
507.08,0.061933271
507.44,0.061468397
507.8,0.061299381
508.15,0.061381314
508.51,0.062190987
508.87,0.062606528
509.23,0.063054813
509.59,0.063147934
509.95,0.063062842
510.31,0.062852353
510.67,0.063523433
511.03,0.063634416
511.39,0.064265975
511.75,0.064472822
512.11,0.064056957
512.47,0.064143649
512.83,0.063779756
513.18,0.063808653
513.54,0.063973635
513.9,0.063859276
514.26,0.06404856
514.62,0.064041213
514.98,0.064231708
515.34,0.064683309
515.7,0.064345149
516.05,0.064028567
516.41,0.063289653
516.77,0.062515943
517.13,0.062194786
517.49,0.06258804
517.85,0.062781778
518.21,0.062996649
518.56,0.063209266
518.92,0.06389299
519.28,0.064543302
519.64,0.065354074
520,0.065745745
520.36,0.065729851
520.71,0.065659812
521.07,0.066145089
521.43,0.066482328
521.79,0.066572916
522.15,0.066683318
522.5,0.066504177
522.86,0.066242698
523.22,0.066740813
523.58,0.067130169
523.94,0.067672825
524.29,0.067921183
524.65,0.067907458
525.01,0.068078484
525.37,0.067897606
525.72,0.067400643
526.08,0.066851895
526.44,0.065989541
526.8,0.065812117
527.15,0.066234627
527.51,0.066723132
527.87,0.067345715
528.23,0.067847662
528.58,0.068494852
528.94,0.068973593
529.3,0.068884353
529.66,0.068962241
530.01,0.068998545
530.37,0.069516428
530.73,0.069733587
531.08,0.069915514
531.44,0.069680466
531.8,0.06951766
532.15,0.069029595
532.51,0.068641773
532.87,0.068693329
533.23,0.068909963
533.58,0.069141386
533.94,0.069460273
534.3,0.069870397
534.65,0.070196554
535.01,0.070325269
535.37,0.071157797
535.72,0.071143379
536.08,0.071074319
536.43,0.070741771
536.79,0.070503507
537.15,0.070767784
537.5,0.070797817
537.86,0.071147771
538.22,0.071456689
538.57,0.07150457
538.93,0.071358343
539.29,0.07105478
539.64,0.071428801
540,0.070944359
540.35,0.070851271
540.71,0.071045417
541.07,0.071094809
541.42,0.071759678
541.78,0.072238705
542.13,0.072561548
542.49,0.072829576
542.84,0.072643868
543.2,0.073066272
543.56,0.073710233
543.91,0.073899047
544.27,0.074496094
544.62,0.074746811
544.98,0.07484738
545.33,0.075165531
545.69,0.074892783
546.04,0.075408466
546.4,0.075631336
546.75,0.075959035
547.11,0.076098023
547.47,0.076361269
547.82,0.076430396
548.18,0.07711784
548.53,0.07745606
548.89,0.077781531
549.24,0.078341096
549.6,0.078696479
549.95,0.078836119
550.31,0.079164944
550.66,0.079561776
551.02,0.079876475
551.37,0.080447845
551.72,0.080876064
552.08,0.081045326
552.43,0.081030368
552.79,0.081508652
553.14,0.082053223
553.5,0.082632494
553.85,0.082877515
554.21,0.08358552
554.56,0.084070688
554.92,0.084564698
555.27,0.084950802
555.62,0.085423744
555.98,0.085851652
556.33,0.085770626
556.69,0.085818741
557.04,0.086094555
557.4,0.087015523
557.75,0.087015974
558.1,0.087436931
558.46,0.08737015
558.81,0.087598809
559.17,0.088108429
559.52,0.088740119
559.87,0.08932463
560.23,0.090190998
560.58,0.090753966
560.93,0.09136601
561.29,0.091819113
561.64,0.092143768
561.99,0.092690811
562.35,0.093381156
562.7,0.093932091
563.06,0.094469298
563.41,0.094996651
563.76,0.095297198
564.12,0.095656321
564.47,0.096125009
564.82,0.096714615
565.18,0.096520939
565.53,0.0972246
565.88,0.0973453
566.23,0.097907377
566.59,0.098346475
566.94,0.098956951
567.29,0.099620955
567.65,0.099680483
568,0.099631149
568.35,0.099560749
568.71,0.0998147
569.06,0.10029334
569.41,0.100891713
569.76,0.10101775
570.12,0.101254357
570.47,0.101330757
570.82,0.101672324
571.17,0.10194404
571.53,0.102235559
571.88,0.102829834
572.23,0.103165898
