muricata,reflection
455.26,0.073295172
455.62,0.073978763
455.99,0.073773981
456.35,0.072703569
456.72,0.072552778
457.08,0.071211824
457.45,0.074334767
457.81,0.069125471
458.18,0.074123255
458.54,0.073114834
458.91,0.076871056
459.27,0.07681423
459.64,0.073522541
460,0.07034062
460.36,0.075772404
460.73,0.073423575
461.09,0.075561837
461.46,0.0738917
461.82,0.072040801
462.19,0.073471922
462.55,0.067843509
462.92,0.074372874
463.28,0.075809158
463.64,0.073452405
464.01,0.073734265
464.37,0.073523047
464.74,0.078538938
465.1,0.074855293
465.46,0.073666855
465.83,0.076066661
466.19,0.073465691
466.56,0.074705061
466.92,0.076102943
467.28,0.075558038
467.65,0.069925822
468.01,0.072762045
468.38,0.07107417
468.74,0.076829994
469.1,0.07412926
469.47,0.071032572
469.83,0.077052722
470.19,0.074469777
470.56,0.073278827
470.92,0.075065858
471.28,0.073077582
471.65,0.075169792
472.01,0.074270948
472.37,0.071477273
472.74,0.075457771
473.1,0.075585064
473.46,0.075467213
473.83,0.074351745
474.19,0.07693337
474.55,0.076807424
474.92,0.076817844
475.28,0.079339676
475.64,0.077620605
476.01,0.07638047
476.37,0.074398485
476.73,0.074865156
477.09,0.077190702
477.46,0.077205201
477.82,0.078507203
478.18,0.076808513
478.54,0.07669225
478.91,0.079414211
479.27,0.076120762
479.63,0.077454304
480,0.07649606
480.36,0.077168858
480.72,0.079294889
481.08,0.080049397
481.45,0.077278559
481.81,0.077259053
482.17,0.079224175
482.53,0.079002076
482.89,0.078805402
483.26,0.07954385
483.62,0.079752135
483.98,0.080241404
484.34,0.082092482
484.7,0.077276553
485.07,0.079511349
485.43,0.081766357
485.79,0.081035325
486.15,0.079655939
486.51,0.077248358
486.88,0.078170618
487.24,0.078922857
487.6,0.080870253
487.96,0.080958374
488.32,0.079469275
488.68,0.080857545
489.05,0.081889319
489.41,0.082976844
489.77,0.08403199
490.13,0.084049367
490.49,0.084915474
490.85,0.08315517
491.21,0.083895676
491.58,0.083288347
491.94,0.082822936
492.3,0.082443932
492.66,0.08212637
493.02,0.08500488
493.38,0.083706138
493.74,0.086614983
494.1,0.085686751
494.47,0.085599209
494.83,0.087936381
495.19,0.08662788
495.55,0.084649482
495.91,0.086660025
496.27,0.086312433
496.63,0.085871047
496.99,0.088903418
497.35,0.090698017
497.71,0.087953106
498.07,0.087884916
498.43,0.086881089
498.79,0.088738952
499.15,0.091346767
499.52,0.085561336
499.88,0.090440441
500.24,0.086111651
500.6,0.085853467
500.96,0.085149211
501.32,0.086792238
501.68,0.087107184
502.04,0.087085317
502.4,0.090780221
502.76,0.088288043
503.12,0.087794432
503.48,0.089087418
503.84,0.088421787
504.2,0.088916198
504.56,0.09096635
504.92,0.09405654
505.28,0.09274954
505.64,0.089983523
506,0.092961367
506.36,0.08911341
506.72,0.093346716
507.08,0.088941054
507.44,0.091196475
507.8,0.091988223
508.15,0.092637377
508.51,0.09125335
508.87,0.092504314
509.23,0.094067993
509.59,0.093180484
509.95,0.092951727
510.31,0.091541015
510.67,0.09369306
511.03,0.093182864
511.39,0.095287502
511.75,0.092149122
512.11,0.094431553
512.47,0.092504166
512.83,0.095318314
513.18,0.093177632
513.54,0.092191365
513.9,0.089126691
514.26,0.089506955
514.62,0.093105756
514.98,0.091752945
515.34,0.091195162
515.7,0.09591714
516.05,0.092142345
516.41,0.087146014
516.77,0.085518747
517.13,0.088016194
517.49,0.085822035
517.85,0.089762598
518.21,0.086775619
518.56,0.08517802
518.92,0.087110848
519.28,0.091105983
519.64,0.089159443
520,0.093818792
520.36,0.090327752
520.71,0.090467975
521.07,0.092224665
521.43,0.092890781
521.79,0.091949281
522.15,0.092237059
522.5,0.091081228
